Origin code,Origin name
PLW20103,"BATUI,LUWUK"
PLW20117,"TOILI,LUWUK"
PLW20200,POSO
PLW20212,"PAMONA SELATAN,POSO"
PLW20300,"TOLITOLI,KAB.TOLITOLI"
PLW20500,"BANGGAI,KAB.BANGGAI KEP."
PLW20600,"BUOL, KAB. BUOL"
PLW20700,"BANAWA,KAB.DONGGALA"
PLW20709,SIGI BIROMARU
PLW20800,"BUNGKU, KAB. MOROWALI"
PLW20900,"PARIGI,KAB.PARIGI MOUTONG"
PLW21000,"AMPANA KOTA,AMPANA"
PNK10000,PONTIANAK
PNK10100,"KETAPANG, KAB.KETAPANG"
PNK10105,"NANGA TAYAP,KETAPANG"
PNK10200,"SANGGAU, KAB SANGGAU"
PNK10214,"SEKAYAM BK,SANGGAU"
PNK10223,"ENTIKONG, SANGGAU"
PNK10300,SINGKAWANG
PNK10400,"SINTANG,KAB.SINTANG"
PNK20200,"PUTUSSIBAU, KAB.KAPUAS HULU"
PNK20600,"BENGKAYANG, KAB BENGKAYANG"
PNK20700,"NGABANG, KAB LANDAK"
PNK20800,"NANGA PINOH, KAB MELAWI"
PNK20900,"MEMPAWAH,KAB MEMPAWAH"
PNK21000,"SAMBAS, KAB SAMBAS"
PNK21100,"SEKADAU HILIR, KAB SEKADAU"
PSR10000,"PASURUAN, PASURUAN"
PWT10000,"PURWAKARTA,KAB.PURWAKARTA"
PWT20000,"SUBANG,KAB.SUBANG"
PWT20017,"SUBANG UTARA, PAMANUKAN"
PWT20028,"SUBANG BARAT, PURWADADI"
SDA10000,"SIDOARJO,SIDOARJO"
SMD10000,SAMARINDA
SMD10007,PALARAN
SMD20100,"TENGGARONG,KAB.KUTAI"
SMD20108,"KOTA BANGUN,TENGGARONG"
SMD20123,"SEBULU,TENGGARONG"
SMD20127,MUARA BADAK
SMD20128,SANGA-SANGA
SMD20133,"ANGGANA,TENGGARONG"
SMD20210,"MELAK, SENDAWAR"
SMI10000,SUKABUMI
SMI10005,"CIBADAK,SUKABUMI"
SMI10007,"CICURUG,SUKABUMI"
SMI10014,"CIKEMBAR,SUKABUMI"
SMI10023,"JAMPANG KULON,SUKABUMI"
SMI10024,"JAMPANG TENGAH,SUKABUMI"
SMI10034,"PARUNGKUDA,SUKABUMI"
SMI10036,"PELABUHANRATU,SUKABUMI"
SMI10038,"SAGARANTEN,SUKABUMI"
SMI10042,"SUKARAJA,SUKABUMI"
SOC10000,SOLO
SOC20100,"BOYOLALI,KAB.BOYOLALI"
SOC20200,"KARANGANYAR,KAB.KARANGANYAR"
SOC20300,KLATEN
SOC20400,SRAGEN
SOC20500,SUKOHARJO
SOC20600,"WONOGIRI,KAB.WONOGIRI"
SOQ10000,SORONG
SOQ10010,"SAUSAPOR,SORONG"
SOQ10019,"AIMAS,SORONG"
SOQ20000,FAK-FAK
SOQ20100,KAIMANA
SOQ20300,"WAISAI,KAB.RAJA AMPAT"
